PWSID,requested,responded,voluntary,tag,Service_Connections,Population,Fee_Code,Regulating_Agency,Water_System_Name,bill_freq,bill_freq_other,submetered_YN,expense_2019_Apr,expense_2019_May,expense_2019_Jun,expense_2019_Jul,expense_2019_Aug,expense_2019_Sep,expense_2019_Oct,expense_2019_Total,revenue_2019_Apr,revenue_2019_May,revenue_2019_Jun,revenue_2019_Jul,revenue_2019_Aug,revenue_2019_Sep,revenue_2019_Oct,revenue_2019_Total,expense_2020_Apr,expense_2020_May,expense_2020_Jun,expense_2020_Jul,expense_2020_Aug,expense_2020_Sep,expense_2020_Oct,expense_2020_Total,revenue_2020_Apr,revenue_2020_May,revenue_2020_Jun,revenue_2020_Jul,revenue_2020_Aug,revenue_2020_Sep,revenue_2020_Oct,revenue_2020_Total,comments_exp_rev,cash_reserve_restricted,cash_reserve_unrestricted,cash_reserve_total,months_before_assist,loans_YN,delinquent_num_acc,delinquent_amount_dollars,comments_cash_reserves,filename
CA4910701,n,NA,not.requested,Bin A,217,1422,SC,DISTRICT 18 - SONOMA,U.S. COAST GUARD TRAINING CENTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0310006,n,NA,not.requested,Bin A,216,510,DAVCS,DISTRICT 10 - STOCKTON,RIVER PINES PUD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710047,n,NA,not.requested,Bin A,216,500,SC,DISTRICT 14 - SAN DIEGO,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1400007,y,y,n,Bin A,215,600,SC,DISTRICT 13 - SAN BERNARDINO,SIERRA HIGHLAND CSD,A,NA,NA,5065,5657,6331,9188,12671,6420,8080,53412,520,NA,NA,57696,34608,8492,7228,108544,4648,6048,7892,8418,7562,7286,10677,52531,NA,NA,NA,58271,34271,9560,4214,106316,"Bills are sent out to customers annually around July 1st. Therefore:
1. There was no revenue reported in some months prior to July. 
2. July is the month when most customers pay their bill. Some customers pay the bill late so the payment is not collected until August or September, or even October.",344000,82000,426000,E,N,3,NA,"Several areas need imporvement and repair, but due to COVID Sierra Highland CSD is unable to do so (ex: having constructor onsite). CSD estimates that $350,000 is needed for improvement if COVID pandemic continues.

One hydropneumatic tank is leaking and needs replacement. 

Some of the water mains are behind homeowners' properties. The pipes are Asbestos Cement (Transite) pipes, not meeting Waterworks Standards. Tree roots are getting into the transite pipes. In addition, at least nine valves need to be replaced and because of COVID, CSD is unable to find someone to replace them. CSD general manager has to hand dig the gorund to replace the valves.

A generator that will cost $80,000. 

Sierra Highland CSD is not qualified as a disvantaged community (DAC) because of the median household income around $74,000/ year, so CSD is not eligible for many fundings which are established for DACs only.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT13-SANBERNARDINO\Complete\Survey_DISTRICT13-CA1400007-SIERRAHIGHLANDCSDcompleted.xlsx
CA1510026,n,NA,not.requested,Bin A,215,416,SC,DISTRICT 19 - TEHACHAPI,CWS - UPPER BODFISH WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5200010,n,NA,not.requested,Bin A,214,45,NA,LPA82 - TEHAMA COUNTY,WOODSON BRIDGE RV PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0310008,n,NA,not.requested,Bin A,211,255,SC,DISTRICT 10 - STOCKTON,CAMANCHE NORTH SHORE INC.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0707574,n,NA,not.requested,Bin A,211,400,SC,DISTRICT 04 - SAN FRANCISCO,SANTIAGO ISLAND VILLAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1500466,n,NA,not.requested,Bin A,211,689,SC,DISTRICT 19 - TEHACHAPI,A.F.P. MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910066,n,NA,not.requested,Bin A,211,325,SC,DISTRICT 22 - ANGELES,LEISURE LAKE MOBILE ESTATES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0800555,y,y,n,Bin A,210,775,SC,DISTRICT 01 - KLAMATH,GASQUET C.S.D.,M,NA,NA,15833.62,18806.57,10072.61,16708.56,24964.87,13271.61,11508.54,111166.38,12762.45,14523.37,18173.74,21476.83,20026.59,18076.71,13469.6,118509.29,12672.17,11782.12,13568.07,12067.47,13672.45,14324.14,16470,94556.42,13184.3,13205.98,23315.94,21880.42,23599.39,22895.28,15044.9,133126.21,NA,NA,707326.2,NA,F,N,14,2434.21,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT01-KLAMATH\Complete\Survey_DISTRICT01-CA0800555-GASQUETCSD-1.xlsx
CA1700518,n,NA,not.requested,Bin A,210,588,DAVCS,DISTRICT 03 - MENDOCINO,LOCH LOMOND MUTUAL WATER CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1510049,n,NA,not.requested,Bin A,209,271,SC,DISTRICT 19 - TEHACHAPI,CWS - LAKELAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910053,n,NA,not.requested,Bin A,208,686,SC,DISTRICT 22 - ANGELES,HEMLOCK MUTUAL WATER CO.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3301534,n,NA,not.requested,Bin A,208,275,SC,DISTRICT 20 - RIVERSIDE,RANCHO CALIMESA MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1210013,n,NA,not.requested,Bin A,206,0,WH,DISTRICT 01 - KLAMATH,HUMBOLDT BAY MWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2310012,n,NA,not.requested,Bin A,206,560,SC,DISTRICT 03 - MENDOCINO,IRISH BEACH WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4000568,n,NA,not.requested,Bin A,206,462,SC,DISTRICT 06 - SANTA BARBARA,SAN SIMEON CSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3600139,n,NA,not.requested,Bin A,205,855,DAVCS,DISTRICT 13 - SAN BERNARDINO,JUBILEE MWC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3700923,n,NA,not.requested,Bin A,205,670,SC,DISTRICT 14 - SAN DIEGO,LAKE MORENA OAK SHORES MWC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4210022,n,NA,not.requested,Bin A,205,527,SC,DISTRICT 06 - SANTA BARBARA,GOLDEN STATE WATER COMPANY - LAKE MARIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910242,y,n,no.response,Bin A,202,260,SC,DISTRICT 22 - ANGELES,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3910022,n,NA,not.requested,Bin A,202,350,SC,DISTRICT 10 - STOCKTON,LITTLE POTATO SLOUGH MUTUAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4900687,n,NA,not.requested,Bin A,202,400,SC,DISTRICT 18 - SONOMA,BROOKWOOD MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3110033,n,NA,not.requested,Bin A,201,280,SC,DISTRICT 02 - LASSEN,CASTLE CITY MHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5400553,n,NA,not.requested,Bin A,201,663,SC,DISTRICT 12 - VISALIA,DEL ORO TRAVER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1000069,n,NA,not.requested,Bin A,200,345,SC,DISTRICT 23 - FRESNO,SHAVER LAKE HEIGHTS PROP ASSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3410022,y,y,n,Bin A,200,450,SC,DISTRICT 09 - SACRAMENTO,OLYMPIA MOBILODGE,M,"We bill a monthly rent that includes water service, but we do not have a breakdown of the costs.",N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We are on a well system and don’t bill the residents for the water specifically- it is included in rent, and we don't track total water system expenses, so we are unable to provide an exact number.",NA,104000,104000,F,N,3,8879.17,"Space 99- This resident passed away and we are currently working with attorney and estate to resolve the deliquency (-$6,829.94).  Space 129-This resident passed away and we are currently working with attorney and estate to resolve the deliquency (-$1,279.54).  Space 60 is a late payer with long-term delinquency issues (-$769.69).  None of these delinquencies are related to Covid-19 hardships.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT09-SACRAMENTO\Complete\Survey_DISTRICT09-CA3410022-OLYMPIAMOBILODGE.xlsx
CA3400179,n,NA,not.requested,Bin A,199,700,NA,LPA64 - SACRAMENTO COUNTY,MC CLELLAN MHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1500290,n,NA,not.requested,Bin A,198,270,SC,DISTRICT 19 - TEHACHAPI,NORTH MUROC MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2000775,n,NA,not.requested,Bin A,198,370,SC,LPA50 - MADERA COUNTY,OAK CREEK MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010097,n,NA,not.requested,Bin A,198,1285,DAVCS,DISTRICT 08 - SANTA ANA,MIDWAY CITY MUTUAL WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1510043,n,NA,not.requested,Bin A,197,269,SC,DISTRICT 19 - TEHACHAPI,CWS-ONYX WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3200102,n,NA,not.requested,Bin A,197,765,SC,DISTRICT 02 - LASSEN,WHITEHAWK RANCH MWC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3410047,n,NA,not.requested,Bin A,197,651,SC,DISTRICT 09 - SACRAMENTO,CALAM - WALNUT GROVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3700933,n,NA,not.requested,Bin A,197,70,SC,LPA67 - SAN DIEGO COUNTY,PALOMAR MOUNTAIN MUTUAL WATER CO.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910158,y,n,no.response,Bin A,196,548,SC,LPA49 - LA COUNTY,STERLING MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2701202,n,NA,not.requested,Bin A,195,740,SC,DISTRICT 05 - MONTEREY,CAL AM WATER COMPANY - CHUALAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3110048,y,y,n,Bin A,195,726,SC,DISTRICT 02 - LASSEN,PLACER CSA - SHERIDAN,A,NA,NA,13011.37,10271.97,16185.67,8174.74,11661.61,11638.2,10371.11,81314.67,11791,11791,11791,12859.15,12859.15,12859.15,12859.15,86809.6,4776.6,3667.8,8652.23,8698.96,12229.18,14551.95,11659.46,64236.18,12859.15,12859.15,12859.15,12822.08,12822.08,12822.08,12822.08,89865.77,"The District contracts with Placer County to place the annualized monthly service charges on the property tax rolls.  This costs 1% of the charges.  The District is guaranteed payment of all accounts and the County deals with delinquencies, therefore delinquent accounts do not affect the operation of the district. Payment for the service charges is scheduled at intervals, so in order to represent the monthly revenue, The District calculated the average monthly revenue based upon total revenue and spread it accordingly. Note, with regard to billing frequency the District stated they bill annually as they use the County Assessor’s Office to collect user fees as part of the annual property tax process.  (This is not to mean that the fees are an assessment or tax, just that they use the property tax billing process as a means to collect fees).",3717,146229,149946,F,N,0,0,"The District contracts with Placer County to place the annualized monthly service charges on the property tax rolls.  This costs 1% of the charges.  The District is guaranteed payment of all accounts and the County deals with delinquencies, therefore delinquent accounts do not affect the operation of the District.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT02-LASSEN\Complete\Survey_DISTRICT02-CA3110048-PLACERCSA-SHERIDAN Complete.xlsx
CA3600086,n,NA,not.requested,Bin A,195,795,SC,LPA66 - SAN BERNARDINO COUNTY,DAGGETT COMM SVCS DIST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4900721,n,NA,not.requested,Bin A,195,342,SC,DISTRICT 18 - SONOMA,COLONIAL PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5200504,n,NA,not.requested,Bin A,195,430,DAVCS,DISTRICT 21 - VALLEY,CITY OF TEHAMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5200508,n,NA,not.requested,Bin A,195,543,SC,LPA82 - TEHAMA COUNTY,RIO VISTA MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5400631,n,NA,not.requested,Bin A,195,694,DAVCS,DISTRICT 24 - TULARE,LINNELL FARM LABOR CENTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4500210,n,NA,not.requested,Bin A,194,600,DAVCS,DISTRICT 02 - LASSEN,LASSEN PINES MUTUAL WATER CO INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0910018,n,NA,not.requested,Bin A,193,538,SC,DISTRICT 09 - SACRAMENTO,EL DORADO ID - OUTINGDALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5304102,n,NA,not.requested,Bin A,193,302,SC,DISTRICT 01 - KLAMATH,TRINITY VILLAGE MUTUAL WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4900562,n,NA,not.requested,Bin A,192,420,SC,DISTRICT 18 - SONOMA,DIAMOND A MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0103041,n,NA,not.requested,Bin A,191,459,SC,DISTRICT 04 - SAN FRANCISCO,TRAILER HAVEN MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4600009,n,NA,not.requested,Bin A,191,515,SC,DISTRICT 02 - LASSEN,"SIERRA CSA #5, SIERRA BROOKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0300037,n,NA,not.requested,Bin A,190,2000,SC,DISTRICT 10 - STOCKTON,JACKSON VALLEY IRRIGATION DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0707576,n,NA,not.requested,Bin A,190,380,SC,LPA37 - CONTRA COSTA COUNTY,PLEASANTIMES MUTUAL WATER CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2800521,y,y,n,Bin A,190,500,SC,LPA58 - NAPA COUNTY,CIRCLE OAKS WATER DISTRICT,M,NA,NA,25726,70023,63374,38807,36009,41695,38955,NA,39839,36300,44703,38898,35624,46105,35715,NA,NA,NA,NA,NA,NA,NA,NA,294250,NA,NA,NA,NA,NA,NA,NA,303091,NA,NA,NA,541837,F,N,0,NA,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT03-MENDOCINO\Complete\Survey_LPA58-CA2800521-CIRCLEOAKSWATERDISTRICT.xlsx
CA3400172,n,NA,not.requested,Bin A,190,525,SC,LPA64 - SACRAMENTO COUNTY,TOKAY PARK WATER CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3301107,y,n,no.response,Bin A,188,300,SC,LPA63 - RIVERSIDE COUNTY,CARVER TRACT MUTUAL WATER COMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0105008,n,NA,not.requested,Bin A,187,524,SC,DISTRICT 04 - SAN FRANCISCO,CASTLEWOOD DOMESTIC WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5200503,n,NA,not.requested,Bin A,187,620,SC,DISTRICT 21 - VALLEY,MINERAL COUNTY WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5410039,n,NA,not.requested,Bin A,187,617,DAVCS,DISTRICT 12 - VISALIA,PLAINVIEW MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3301040,n,NA,not.requested,Bin A,186,300,SC,LPA63 - RIVERSIDE COUNTY,RIVERDALE ESTATES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3400190,n,NA,not.requested,Bin A,186,200,NA,LPA64 - SACRAMENTO COUNTY,IMPERIAL MANOR MOBILEHOME COMMUNITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
