"","Regulating Agency","Water System No.","Water System Name","Fed Type","State Type","DS Class","Max TP Class","Fee Code","Service Connections","Last SNSV","completed","PWSID","Population","tag"
"1438","LPA58 - NAPA COUNTY",2800530,"MEYERS WATER CO.","C","C","D1","There are no treatment plants","SC",96,2020-06-11,"n",NA,250,NA
"1439","LPA58 - NAPA COUNTY",2810014,"SPANISH FLAT WATER DISTRICT","C","C","D1","T2","SC",96,2020-05-05,"n",NA,230,NA
"1440","LPA67 - SAN DIEGO COUNTY",3700922,"LIVE OAK SPRINGS WATER COMPANY","C","C","D1","TD","SC",96,2019-05-07,"n",NA,300,NA
"1441","DISTRICT 17 - SANTA CLARA",4300575,"TWIN VALLEY INC","C","C","D1","There are no treatment plants","SC",96,2018-09-13,"n",NA,317,NA
"1442","DISTRICT 12 - VISALIA",1500557,"STOCKDALE RANCHOS MUTUAL WATER CO","C","C","D1","TD","SC",95,2018-12-17,"n",NA,393,NA
"1443","DISTRICT 15 - METROPOLITAN",1910099,"PARADISE RANCH MHP","C","C","D1","T1","SC",95,2009-04-09,"n",NA,345,NA
"1444","LPA66 - SAN BERNARDINO COUNTY",3600158,"LYTLE SPRINGS WC","C","C","D1","There are no treatment plants","SC",95,2018-10-23,"n",NA,475,NA
"1445","DISTRICT 01 - KLAMATH",4700528,"SISKIYOU CO. ROLLING HILLS MWC","C","C","D1","There are no treatment plants","DAVCS",95,2018-05-30,"n",NA,300,NA
"1446","LPA80 - STANISLAUS COUNTY",5000017,"PARK HEIGHTS MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",95,2019-06-14,"n",NA,250,NA
"1447","DISTRICT 06 - SANTA BARBARA",5601119,"SIETE ROBLES MUTUAL WATER CO","C","C","D1","T1","SC",95,2018-11-08,"n",NA,323,NA
"1448","LPA87 - YOLO COUNTY",5700788,"NORTH DAVIS MEADOWS","C","C","D1","TD",NA,95,2020-01-28,"n",NA,314,NA
"1449","LPA34 - BUTTE COUNTY",400008,"GRAN MUTUAL WATER CO","C","C","D1","There are no treatment plants",NA,94,2017-03-23,"n",NA,200,NA
"1450","LPA44 - INYO COUNTY",1400066,"ASPENDELL MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",94,2014-06-25,"n",NA,60,NA
"1451","DISTRICT 17 - SANTA CLARA",4100503,"BUTANO CANYON MUTUAL","C","C","D1","T2","SC",94,2019-11-20,"n",NA,150,NA
"1452","LPA72 - SANTA BARBARA COUNTY",4200616,"SKYLINE PARK","C","C","D1","TD","SC",94,2020-01-13,"n",NA,300,NA
"1453","LPA72 - SANTA BARBARA COUNTY",4200807,"WOODSTOCK RANCH","C","C","D1","There are no treatment plants","SC",94,2019-05-15,"n",NA,350,NA
"1454","DISTRICT 11 - MERCED",2010012,"CAL AM - RAYMOND","C","C","D1","T3","DAVCS",93,2018-10-23,"n",NA,307,NA
"1455","DISTRICT 03 - MENDOCINO",2300610,"CASPAR SOUTH SERVICE COMPANY","C","C","D1","T2","SC",93,2018-11-15,"n",NA,188,NA
"1456","LPA66 - SAN BERNARDINO COUNTY",3600107,"FOREST PARK MWC","C","C","D1","TD","SC",93,2019-04-08,"n",NA,415,NA
"1457","LPA66 - SAN BERNARDINO COUNTY",3600400,"APPLE VALLEY VILLAGE MHE","C","C","D1","There are no treatment plants","SC",93,2018-07-05,"n",NA,180,NA
"1458","LPA75 - SHASTA COUNTY",4500094,"RIVERLAND MOBILEHOME PARK","C","C","D1","TD","SC",93,2020-04-24,"n",NA,274,NA
"1459","DISTRICT 18 - SONOMA",4910027,"SONOMA STATE UNIVERSITY","C","C","D3","T1","C1",93,2020-07-27,"n",NA,10986,NA
"1460","DISTRICT 21 - VALLEY",5100107,"SUTTER CO. WWD#1 (ROBBINS)","C","C","D1","T2","DAVCS",93,2019-04-03,"n",NA,350,NA
"1461","DISTRICT 24 - TULARE",5400903,"TRACT 92 CSD","C","C","D1","TD","SC",93,2018-04-27,"n",NA,500,NA
"1462","DISTRICT 06 - SANTA BARBARA",5610050,"CALLEGUAS MUNICIPAL WATER DIST","C","C","D5","T5","WH",93,2019-12-16,"n",NA,0,NA
"1463","DISTRICT 03 - MENDOCINO",1700595,"CAL 20 VILLAGE AND MEADOW POINTE PARK","C","C","D1","T1","DAVCS",92,2017-12-01,"n",NA,150,NA
"1464","DISTRICT 02 - LASSEN",3110049,"TAHOE PARK WATER CO - SKYLAND/NIELSEN","C","C","D1","There are no treatment plants","SC",92,2019-08-14,"n",NA,50,NA
"1465","LPA67 - SAN DIEGO COUNTY",3701747,"NORTH PEAK MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",92,2019-02-13,"n",NA,25,NA
"1466","LPA67 - SAN DIEGO COUNTY",3701961,"PINE VALLEY TRAILER PARK","C","C","D1","TD","SC",92,2017-11-03,"n",NA,200,NA
"1467","LPA72 - SANTA BARBARA COUNTY",4200619,"SANTA YNEZ RANCHO EST.","C","C","D1","There are no treatment plants",NA,92,2019-09-17,"n",NA,304,NA
"1468","DISTRICT 17 - SANTA CLARA",4300545,"SARATOGA HEIGHTS MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",92,2019-08-19,"n",NA,258,NA
"1469","LPA75 - SHASTA COUNTY",4500235,"WOODRIDGE MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",92,2020-06-22,"n",NA,182,NA
"1470","DISTRICT 18 - SONOMA",4900521,"GILL CREEK MUTUAL WATER COMPANY","C","C","D1","TD","SC",92,2017-06-29,"n",NA,232,NA
"1471","DISTRICT 06 - SANTA BARBARA",5602115,"SAVIERS ROAD MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",92,2018-09-20,"n",NA,368,NA
"1472","LPA50 - MADERA COUNTY",2000293,"MD 46 AHWAHNEE RESORTS","C","C","D1","T1","SC",91,2019-12-13,"n",NA,300,NA
"1473","LPA75 - SHASTA COUNTY",4500003,"MEL MAR MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",91,2018-05-04,"n",NA,300,NA
"1474","DISTRICT 11 - MERCED",5500040,"BLUEBELL VALLEY MWC","C","C","D1","There are no treatment plants","DAVCS",91,2019-09-19,"n",NA,282,NA
"1475","DISTRICT 21 - VALLEY",1100616,"ELK CREEK COMMUNITY S.D.","C","C","D1","T3","DAVCS",90,2019-12-16,"n",NA,191,NA
"1476","DISTRICT 12 - VISALIA",1500314,"DEL ORO WC - COUNTRY ESTATES DIST","C","C","D1","TD","SC",90,2019-08-28,"n",NA,297,NA
"1477","DISTRICT 12 - VISALIA",1500380,"DE RANCHO Y MOBILE VILLA WATER","C","C","D1","There are no treatment plants","SC",90,2019-11-13,"n",NA,200,NA
"1478","DISTRICT 12 - VISALIA",1503475,"WESTERN ACRES MUTUAL WATER COMPANY","C","C","D1","TD","SC",90,2020-06-18,"n",NA,310,NA
"1479","DISTRICT 03 - MENDOCINO",1700546,"CLEAR WATER MUTUAL WATER COMPANY","C","C","D1","T3","DAVCS",90,2017-09-28,"n",NA,252,NA
"1480","LPA57 - MONTEREY COUNTY",2700674,"PARADISE LAKE MUTUAL WATER CO.","C","C","D1","There are no treatment plants",NA,90,2017-09-12,"n",NA,180,NA
"1481","LPA58 - NAPA COUNTY",2800543,"CAPELL VALLEY ESTATES","C","C","D1","T2",NA,90,2020-05-05,"n",NA,250,NA
"1482","LPA63 - RIVERSIDE COUNTY",3301511,"PINYON CREST HOA","C","C","D1","TD","SC",90,2018-10-02,"n",NA,104,NA
"1483","DISTRICT 17 - SANTA CLARA",4300563,"MT. PLEASANT WATER USERS ASSOCIATION","C","C","D1","There are no treatment plants","SC",90,2017-09-19,"n",NA,300,NA
"1484","DISTRICT 24 - TULARE",5400550,"SEVILLE WATER COMPANY","C","C","D1","TD","DAVCS",90,2019-12-16,"n",NA,480,NA
"1485","DISTRICT 01 - KLAMATH",800552,"NORTHCREST TRAILER CITY","C","C","D1","Missing treatment classification in SDWIS","SC",89,2019-08-14,"n",NA,250,NA
"1486","LPA44 - INYO COUNTY",1400006,"PINE CREEK VILLAGE","C","C","D1","There are no treatment plants","SC",89,2019-10-23,"n",NA,350,NA
"1487","DISTRICT 12 - VISALIA",1500544,"ENOS LANE PUBLIC UTILITY DISTRICT","C","C","D1","TD","SC",89,2018-07-27,"y","CA1500544",365,"Bin A"
"1488","LPA50 - MADERA COUNTY",2000506,"SIERRA LINDA MUTUAL WATER CO","C","C","D1","There are no treatment plants",NA,89,2019-09-24,"n",NA,200,NA
"1489","DISTRICT 02 - LASSEN",4600056,"SIERRA CITY WATER WORKS, INC.","C","C","D1","There are no treatment plants","SC",89,2019-08-15,"n",NA,250,NA
"1490","LPA34 - BUTTE COUNTY",400020,"PLEASANT GROVE MHP","C","C","D1","There are no treatment plants",NA,88,2015-05-13,"n",NA,327,NA
"1491","DISTRICT 21 - VALLEY",600012,"COLUSA CO. SERVICE AREA #1-CENTURY RANCH","C","C","D1","T2","SC",88,2019-05-30,"n",NA,246,NA
"1492","LPA67 - SAN DIEGO COUNTY",3700936,"RANCHO ESTATES MUTUAL WATER CO.","C","C","D2","T1","SC",88,2020-05-19,"n",NA,200,NA
"1493","LPA88 - YUBA COUNTY",5800832,"CASTLEWOOD MOBILE HOME PARK","C","C","D1","T1","SC",88,2019-01-29,"n",NA,200,NA
"1494","DISTRICT 21 - VALLEY",1100237,"WILLOWS MOBILE HOME COMMUNITY & RV PARK","C","C","D1","There are no treatment plants","SC",87,2020-02-26,"n",NA,190,NA
"1495","LPA66 - SAN BERNARDINO COUNTY",3600022,"BAKER COMMUNITY SERVICES DISTRICT","C","C","D1","There are no treatment plants","SC",87,2019-11-19,"n",NA,1000,NA
"1496","LPA72 - SANTA BARBARA COUNTY",4200531,"RANCHO MARCELINO WAT","C","C","D2","T2","SC",87,2019-03-15,"n",NA,240,NA
"1497","DISTRICT 04 - SAN FRANCISCO",4810011,"SID - ELMIRA","C","C","D1","TD","SC",87,2018-05-30,"n",NA,314,NA
"1498","DISTRICT 04 - SAN FRANCISCO",4810012,"SID - QUAIL CANYON","C","C","D1","TD","SC",87,2018-05-30,"n",NA,287,NA
"1499","DISTRICT 18 - SONOMA",4900558,"BELMONT TERRACE MUTUAL WATER COMPANY","C","C","D1","TD","SC",87,2017-11-22,"n",NA,244,NA
"1500","LPA80 - STANISLAUS COUNTY",5000058,"FISHERMAN'S BEND MHP","C","C","D1","There are no treatment plants","SC",87,2018-04-12,"n",NA,80,NA
"1501","DISTRICT 11 - MERCED",5500086,"SONORA ESTATES MOBILE HOME PARK","C","C","D1","There are no treatment plants","SC",87,2019-08-08,"n",NA,231,NA
"1502","DISTRICT 11 - MERCED",5500115,"SUGAR PINE RV RESORT","C","C","D1","There are no treatment plants","DAVCS",87,2019-11-19,"n",NA,244,NA
"1503","LPA37 - CONTRA COSTA COUNTY",707577,"RIVERVIEW WATER ASSOCIATION","C","C","D1","There are no treatment plants","SC",86,2020-06-19,"n",NA,230,NA
"1504","DISTRICT 21 - VALLEY",1100404,"DEL ORO WC - BLACK BUTTE DISTRICT","C","C","D1","There are no treatment plants","SC",86,2018-08-13,"n",NA,284,NA
"1505","DISTRICT 19 - TEHACHAPI",1500459,"LAKE OF THE WOODS MOBILE VILLAGE","C","C","D1","There are no treatment plants","SC",86,2019-10-15,"n",NA,82,NA
"1506","DISTRICT 11 - MERCED",2210906,"MARIPOSA PINES MUTUAL","C","C","D1","There are no treatment plants","SC",86,2018-12-18,"n",NA,284,NA
"1507","DISTRICT 03 - MENDOCINO",2300743,"DOLPHIN ISLE MARINA","C","C","D1","TD","DAVCS",86,2019-07-02,"n",NA,560,NA
"1508","LPA59 - NEVADA COUNTY",2900562,"ANANDA VILLAGE","C","C","D1","T1","SC",86,2019-11-20,"n",NA,290,NA
"1509","LPA69 - SAN JOAQUIN COUNTY",3900722,"MORADA ESTATES PWS","C","C","D1","T2","SC",86,2017-12-06,"n",NA,158,NA
"1510","DISTRICT 01 - KLAMATH",4700542,"ABRAMS LAKE MOBILE ESTATES","C","C","D1","There are no treatment plants","DAVCS",86,2019-01-31,"n",NA,135,NA
"1511","LPA88 - YUBA COUNTY",5800828,"COUNTRYSIDE MOBILE HOME PARK","C","C","D1","T1","SC",86,2018-02-23,"n",NA,185,NA
"1512","DISTRICT 19 - TEHACHAPI",1500393,"RAINBIRD VALLEY MUTUAL WATER COMPANY","C","C","D1","TD","SC",85,2018-06-20,"y","CA1500393",238,"Bin A"
"1513","LPA62 - PLUMAS COUNTY",3200150,"HAMILTON BRANCH MWC","C","C","D1","There are no treatment plants","SC",85,2018-05-24,"n",NA,250,NA
"1514","LPA63 - RIVERSIDE COUNTY",3301180,"ANZA MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",85,2017-09-08,"n",NA,224,NA
"1515","LPA64 - SACRAMENTO COUNTY",3400107,"RIVER'S EDGE MARINA & RESORT","C","C",NA,"There are no treatment plants",NA,85,2018-08-03,"n",NA,150,NA
"1516","LPA69 - SAN JOAQUIN COUNTY",3901074,"TWIN OAKS MOBILE PARK","C","C","D1","There are no treatment plants","SC",85,2019-02-19,"n",NA,255,NA
"1517","LPA72 - SANTA BARBARA COUNTY",4200578,"PAINTED CAVE","C","C","D1","There are no treatment plants",NA,85,2018-05-09,"n",NA,243,NA
"1518","LPA82 - TEHAMA COUNTY",5200562,"SKY VIEW COUNTY WATER","C","C","D1","TD","SC",85,2019-06-13,"y","CA5200562",412,"Bin A"
"1519","DISTRICT 06 - SANTA BARBARA",5601104,"CASITAS MUTUAL WATER COMPANY","C","C","D1","TD","SC",85,2018-10-05,"y","CA5601104",238,"Bin A"
"1520","LPA88 - YUBA COUNTY",5800924,"CAMPTONVILLE COMMUNITY SERV DIST","C","C","D1","T2","SC",85,2020-06-24,"n",NA,180,NA
"1521","DISTRICT 01 - KLAMATH",800700,"LAS PALMAS MOBILE HOME PARK","C","C","D1","TD","DAVCS",84,2018-09-18,"n",NA,120,NA
"1522","DISTRICT 19 - TEHACHAPI",1500333,"CWS - FREMONT VALLEY","C","C","D1","TD","SC",84,2018-10-30,"n",NA,116,NA
"1523","LPA57 - MONTEREY COUNTY",2700702,"PRUNEDALE MWC","C","C","D1","T2",NA,84,2019-08-30,"n",NA,277,NA
"1524","LPA66 - SAN BERNARDINO COUNTY",3600094,"DOGWOOD BLUE JAY CYN IMP","C","C","D1","T2","SC",84,2019-11-04,"n",NA,160,NA
"1525","DISTRICT 02 - LASSEN",4500317,"SHASTA CSA - FRENCH GULCH, #11","C","C","D1","T2","DAVCS",84,2019-04-16,"n",NA,277,NA
"1526","DISTRICT 01 - KLAMATH",4700549,"LAKE SISKIYOU M.W.C.","C","C","D1","There are no treatment plants","DAVCS",84,2019-05-02,"n",NA,240,NA
"1527","DISTRICT 24 - TULARE",5400732,"PIERPOINT SPRINGS WATER CO.","C","C","D1","There are no treatment plants","SC",84,2018-09-27,"n",NA,40,NA
"1528","LPA88 - YUBA COUNTY",5800820,"RIVER HIGHLANDS CSD","C","C","D1","There are no treatment plants","SC",84,2018-11-07,"n",NA,200,NA
"1529","DISTRICT 21 - VALLEY",1100436,"ORLAND OAKS MHP","C","C","D1","There are no treatment plants","SC",83,2017-05-03,"n",NA,186,NA
"1530","LPA50 - MADERA COUNTY",2000551,"MD 07 MARINA VIEW HEIGHTS","C","C","D1","T1","SC",83,2019-12-18,"n",NA,200,NA
"1531","LPA63 - RIVERSIDE COUNTY",3301529,"RAMONA WATER COMPANY","C","C","D1","There are no treatment plants","SC",83,2019-03-27,"y","CA3301529",250,"Bin A"
"1532","LPA66 - SAN BERNARDINO COUNTY",3600152,"LOMA LINDA UNIVERSITY","C","C","D2","T2","SC",83,2018-11-28,"n",NA,8500,NA
"1533","LPA66 - SAN BERNARDINO COUNTY",3600226,"CSA 70-F MORONGO","C","C","D1","TD","SC",83,2019-02-19,"n",NA,450,NA
"1534","LPA69 - SAN JOAQUIN COUNTY",3900624,"IL VINETO","C","C","D1","T1","SC",83,2019-02-13,"n",NA,160,NA
"1535","DISTRICT 18 - SONOMA",4900545,"BRANGER MUTUAL WATER COMPANY, INC.","C","C","D1","TD","SC",83,2017-11-07,"n",NA,300,NA
"1536","DISTRICT 06 - SANTA BARBARA",5602104,"DEL NORTE MUTUAL WATER CO.","C","C","D1","TD","SC",83,2019-12-10,"n",NA,211,NA
"1537","DISTRICT 02 - LASSEN",1800534,"SPAULDING EAGLE LAKE MWC","C","C","D1","TD","SC",82,2018-07-26,"y","CA1800534",289,"Bin A"
"1538","LPA50 - MADERA COUNTY",2000757,"MD 63 MEADOW SPRINGS RANCH","C","C","D1","T1","SC",82,2019-09-13,"n",NA,300,NA
"1539","DISTRICT 03 - MENDOCINO",2300605,"RIVER ESTATES MUTUAL WATER COMPANY","C","C","D1","T1","SC",82,2018-05-03,"n",NA,250,NA
"1540","LPA63 - RIVERSIDE COUNTY",3301512,"PINYON PINES COUNTY WATER DIST","C","C","D1","There are no treatment plants","SC",82,2019-04-23,"n",NA,160,NA
"1541","LPA69 - SAN JOAQUIN COUNTY",3900505,"FARMINGTON WATER COMPANY","C","C","D1","There are no treatment plants","SC",82,2017-07-07,"y","CA3900505",270,"Bin A"
"1542","LPA69 - SAN JOAQUIN COUNTY",3900596,"VILLA CEREZOS","C","C","D1","There are no treatment plants","SC",82,2019-03-24,"n",NA,200,NA
"1543","LPA69 - SAN JOAQUIN COUNTY",3901337,"MORADA ESTATES N PWS #46","C","C","D1","There are no treatment plants","SC",82,2017-12-06,"n",NA,180,NA
"1544","LPA80 - STANISLAUS COUNTY",5000317,"OID #51 - SUNSET OAKS #10","C","C","D1","There are no treatment plants","SC",82,2017-06-21,"n",NA,287,NA
"1545","DISTRICT 10 - STOCKTON",310018,"FIRST MACE MEADOWS UNIT NO. 2","C","C","D1","There are no treatment plants","SC",81,2019-06-18,"n",NA,200,NA
"1546","DISTRICT 12 - VISALIA",1500349,"STOCKDALE MUTUAL WATER CO.","C","C","D1","TD","SC",81,2019-04-15,"n",NA,200,NA
"1547","LPA50 - MADERA COUNTY",2000512,"EAST ACRES MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants",NA,81,2018-06-18,"n",NA,250,NA
"1548","LPA57 - MONTEREY COUNTY",2700772,"STRUVE RD WS #02","C","C","D1","TD","SC",81,2018-08-03,"n",NA,166,NA
"1549","LPA66 - SAN BERNARDINO COUNTY",3600012,"APPLE VALLEY VIEW MWC","C","C","D1","There are no treatment plants","SC",81,2018-12-13,"n",NA,275,NA
"1550","LPA34 - BUTTE COUNTY",400051,"DINGERVILLE USA PARK","C","C","D1","There are no treatment plants",NA,80,2020-06-25,"n",NA,447,NA
"1551","DISTRICT 23 - FRESNO",1009027,"HARRIS FARMS HEADQUARTERS","C","C","D1","T2","SC",80,2017-03-28,"n",NA,300,NA
"1552","DISTRICT 12 - VISALIA",1500493,"EL ADOBE POA, INC.","C","C","D1","TD","SC",80,2020-04-23,"n",NA,200,NA
"1553","DISTRICT 08 - SANTA ANA",3010071,"JOINT REGIONAL WATER SUPPLY SYSTEM","C","C","D4","There are no treatment plants","WH",80,2017-07-20,"n",NA,0,NA
"1554","LPA63 - RIVERSIDE COUNTY",3301482,"ORTEGA OAKS RV PARK&CAMPGROUND","C","C","D1","T1","SC",80,2018-04-26,"n",NA,180,NA
"1555","LPA66 - SAN BERNARDINO COUNTY",3600180,"NAVAJO MWC","C","C","D1","There are no treatment plants","SC",80,2019-05-29,"n",NA,276,NA
"1556","LPA72 - SANTA BARBARA COUNTY",4200842,"SAINT MARIE MHP","C","C","D1","There are no treatment plants","SC",80,2019-10-25,"n",NA,250,NA
"1557","DISTRICT 24 - TULARE",5400968,"IMPROVEMENT DISTRICT NO. 1","C","C","D1","T3","SC",80,2019-11-21,"n",NA,200,NA
"1558","DISTRICT 24 - TULARE",5403217,"OKIEVILLE HIGHLAND ACRES MWC","C","C","D1","There are no treatment plants","SC",80,2019-07-11,"n",NA,300,NA
"1559","DISTRICT 11 - MERCED",5500120,"49ER TRAILER RANCH","C","C","D1","There are no treatment plants","DAVCS",80,2017-12-12,"n",NA,121,NA
"1560","DISTRICT 23 - FRESNO",1000359,"FCSA #32/CANTUA CREEK","C","C","D1","T2","DAVCS",79,2020-02-20,"n",NA,255,NA
"1561","DISTRICT 01 - KLAMATH",1200501,"ALDERPOINT COUNTY WATER","C","C","D1","T2","SC",79,2019-01-16,"n",NA,219,NA
"1562","DISTRICT 19 - TEHACHAPI",1502232,"ROSAMOND MOBILEHOME PARK","C","C","D1","TD","DAVCS",79,2018-04-13,"n",NA,175,NA
"1563","DISTRICT 17 - SANTA CLARA",4300551,"HAPPY ACRES MWC","C","C","D1","TD","SC",79,2018-04-12,"n",NA,220,NA
"1564","LPA74 - SANTA CRUZ COUNTY",4400598,"PURESOURCE WATER, INC","C","C","D1","There are no treatment plants",NA,79,2019-03-28,"n",NA,172,NA
"1565","LPA75 - SHASTA COUNTY",4500313,"SHASTA CO CSA # 8 PALO CEDRO","C","C","D1","TD","SC",79,2020-05-08,"n",NA,261,NA
"1566","DISTRICT 18 - SONOMA",4900512,"HAPPY ACRES MUTUAL BENEFIT WATER SYSTEM","C","C","D1","T1","SC",79,2013-08-21,"n",NA,260,NA
"1567","LPA49 - LA COUNTY",1900303,"LLANO MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",78,2019-03-21,"n",NA,264,NA
"1568","LPA58 - NAPA COUNTY",2810009,"BERRYESSA PINES WATER SYSTEM","C","C","D1","T2","SC",78,2020-05-05,"n",NA,261,NA
"1569","DISTRICT 02 - LASSEN",3200510,"IVCSD CRESCENT MILLS","C","C","D1","T1","DAVCS",78,2019-11-18,"n",NA,258,NA
"1570","LPA66 - SAN BERNARDINO COUNTY",3601036,"CALICO LAKE HOMEOWNERS","C","C","D1","There are no treatment plants","SC",78,2019-01-23,"n",NA,150,NA
"1571","DISTRICT 01 - KLAMATH",4700880,"SISKIYOU LAKE HIGHLANDS MWC","C","C","D1","There are no treatment plants","SC",78,2017-10-05,"n",NA,100,NA
"1572","LPA80 - STANISLAUS COUNTY",5000237,"NORTH OAKS MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",78,2017-06-30,"n",NA,234,NA
"1573","DISTRICT 24 - TULARE",5400602,"EAGLE'S NEST RESORT","C","C","D1","There are no treatment plants","SC",78,2020-02-07,"n",NA,279,NA
"1574","DISTRICT 23 - FRESNO",1000259,"NEW HORIZONS MOBILE/RV PARK","C","C","D1","There are no treatment plants","SC",77,2017-03-15,"n",NA,82,NA
"1575","LPA63 - RIVERSIDE COUNTY",3301381,"CSA 51","C","C","D1","T1","SC",77,2020-06-10,"y","CA3301381",350,"Bin A"
"1576","LPA64 - SACRAMENTO COUNTY",3400149,"RANCHO MARINA","C","C",NA,"Missing treatment classification in SDWIS",NA,77,2020-07-30,"n",NA,250,NA
"1577","DISTRICT 05 - MONTEREY",3500006,"CSA NO. 31 STONEGATE WS","C","C","D1","T2","SC",77,2019-08-23,"n",NA,252,NA
"1578","LPA80 - STANISLAUS COUNTY",5000014,"OID #46 - SUNSET OAKS","C","C","D1","There are no treatment plants","SC",77,2017-06-21,"n",NA,269,NA
"1579","DISTRICT 24 - TULARE",5400567,"TOOLEVILLE MUTUAL NON PROFIT WATER ASSOC","C","C","D1","TD","DAVCS",77,2018-11-09,"n",NA,340,NA
"1580","DISTRICT 23 - FRESNO",1009111,"SCE/BIG CREEK POWERHOUSE #1","C","C","D1","T2","SC",76,2018-07-19,"n",NA,126,NA
"1581","DISTRICT 01 - KLAMATH",1200591,"BIG LAGOON PARK WATER CO.","C","C","D1","TD","SC",76,2018-03-27,"n",NA,70,NA
"1582","LPA49 - LA COUNTY",1900636,"EL RANCHO MOBILE HOME PARK","C","C","D1","T1","SC",76,2019-01-09,"n",NA,215,NA
"1583","LPA63 - RIVERSIDE COUNTY",3301114,"CHERRY VALLEY WATER COMPANY","C","C","D1","TD","SC",76,2018-10-22,"n",NA,210,NA
"1584","LPA69 - SAN JOAQUIN COUNTY",3901114,"KING ISLAND TRAILER PARK WATER SYSTEM","C","C","D1","There are no treatment plants","SC",76,2019-04-17,"n",NA,200,NA
"1585","DISTRICT 18 - SONOMA",4900797,"NORTH STAR MOBILE HOME PARK","C","C","D1","TD","SC",76,2019-03-19,"n",NA,75,NA
"1586","LPA37 - CONTRA COSTA COUNTY",707598,"CAMINO MOBILEHOME","C","C","D1","There are no treatment plants","SC",75,2018-03-12,"n",NA,210,NA
"1587","LPA44 - INYO COUNTY",1400020,"ABERDEEN WATER SYSTEM","C","C","D1","There are no treatment plants","SC",75,2010-06-09,"n",NA,23,NA
"1588","DISTRICT 03 - MENDOCINO",1700574,"COBB AREA CWD - STARVIEW","C","C","D1","TD","DAVCS",75,2020-08-21,"n",NA,247,NA
"1589","LPA49 - LA COUNTY",1900721,"TERRA NOVA MOBILE HOME PARK","C","C","D1","T1","SC",75,2018-11-28,"n",NA,140,NA
"1590","DISTRICT 11 - MERCED",2210903,"FISHCAMP MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",75,2017-10-20,"n",NA,275,NA
"1591","LPA67 - SAN DIEGO COUNTY",3701184,"BUTTERFIELD RANCH","C","C","D1","There are no treatment plants","SC",75,2019-08-18,"n",NA,350,NA
"1592","LPA75 - SHASTA COUNTY",4500054,"BALLS FERRY FISHING RESORT","C","C","D1","TD","SC",75,2019-04-24,"n",NA,204,NA
"1593","DISTRICT 18 - SONOMA",4900795,"STONEGATE MOBILE HOME PARK","C","C","D1","TD","SC",75,2013-08-22,"n",NA,100,NA
"1594","LPA82 - TEHAMA COUNTY",5200570,"SURREY VILLAGE WATER CO. INC.","C","C","D1","There are no treatment plants","SC",75,2019-06-27,"n",NA,145,NA
"1595","DISTRICT 11 - MERCED",5500125,"MOTHER LODE MOBILE ESTATES","C","C","D1","There are no treatment plants","DAVCS",75,2017-06-29,"n",NA,210,NA
"1596","DISTRICT 21 - VALLEY",1100444,"ORLAND ESTATES MOBILE H.P.","C","C","D1","There are no treatment plants","SC",74,2017-07-05,"n",NA,200,NA
"1597","LPA56 - MONO COUNTY",2600501,"BIRCHIM COMMUNITY SERVICE DISTRICT","C","C","D1","There are no treatment plants","SC",74,2019-06-25,"n",NA,150,NA
"1598","LPA63 - RIVERSIDE COUNTY",3301535,"RANCHO CARRILLO MWC","C","C","D1","There are no treatment plants","SC",74,2020-02-21,"n",NA,210,NA
"1599","LPA69 - SAN JOAQUIN COUNTY",3900653,"ISLANDER MARINA","C","C","D1","T1","SC",74,2017-02-17,"n",NA,150,NA
"1600","DISTRICT 21 - VALLEY",5200534,"PASKENTA COMM. SERVICES DIST.","C","C","D1","TD","SC",74,2019-05-24,"n",NA,244,NA
"1601","DISTRICT 06 - SANTA BARBARA",5602140,"SATICOY COUNTRY CLUB-CITY OF VENTURA","C","C","D1","TD","SC",74,2017-05-08,"n",NA,177,NA
"1602","DISTRICT 19 - TEHACHAPI",1503329,"HART CREEK ESTATES MUTUAL WATER CO.","C","C","D1","T1","SC",73,2018-10-09,"n",NA,148,NA
"1603","DISTRICT 03 - MENDOCINO",2300730,"WESTPORT COUNTY WATER DISTRICT","C","C","D1","T3","DAVCS",73,2019-10-16,"n",NA,369,NA
"1604","DISTRICT 11 - MERCED",2400167,"BALLICO CSD","C","C","D1","There are no treatment plants","SC",73,2017-04-04,"n",NA,238,NA
"1605","LPA66 - SAN BERNARDINO COUNTY",3601015,"IRONWOOD CAMP","C","C","D1","T2","SC",73,2020-03-16,"n",NA,1000,NA
"1606","LPA67 - SAN DIEGO COUNTY",3701837,"WYNOLA WATER DISTRICT","C","C","D1","There are no treatment plants","SC",73,2020-05-06,"n",NA,120,NA
