Regulating Agency,Water System No.,Water System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,Service Connections,Population,Last SNSV
DISTRICT 12 - VISALIA,5400666,DEL ORO GRANDVIEW GARDENS DISTRICT,C,C,D1,TD,SC,99,327,7/31/2019
DISTRICT 24 - TULARE,5400728,GRIER MUTUAL WATER CO,C,C,D1,There are no treatment plants,SC,99,94,9/27/2018
DISTRICT 24 - TULARE,5403023,DELFT COLONY WATER,C,C,D1,TD,DAVCS,99,400,4/15/2020
DISTRICT 24 - TULARE,5410801,PORTERVILLE DEVELOPMENTAL CENTER,C,C,D2,T2,SC,99,1327,5/30/2018
DISTRICT 02 - LASSEN,1800529,SUSAN HILLS ESTATES WC,C,C,D1,There are no treatment plants,SC,98,316,6/23/2017
LPA49 - LA COUNTY,1900100,METTLER VALLEY MUTUAL,C,C,D1,T1,SC,98,135,5/8/2020
DISTRICT 11 - MERCED,2210901,MPWD-COULTERVILLE CSA 1,C,C,D1,There are no treatment plants,SC,98,193,12/7/2017
LPA57 - MONTEREY COUNTY,2701676,SAN LUCAS WD,C,C,D1,T1,SC,98,315,10/24/2017
LPA69 - SAN JOAQUIN COUNTY,3901092,SAN JOAQUIN WATER WORKS #2,C,C,D1,T2,SC,98,293,12/6/2017
DISTRICT 24 - TULARE,5400710,BADGER HILL ESTATES,C,C,D1,There are no treatment plants,SC,98,272,10/16/2018
LPA34 - BUTTE COUNTY,400013,MERRY MOUNTAIN MUTUAL,C,C,D1,There are no treatment plants,,97,100,8/8/2019
DISTRICT 02 - LASSEN,3110044,TAHOE CITY PUD - ALPINE PEAKS,C,C,D1,There are no treatment plants,SC,97,201,7/17/2019
DISTRICT 14 - SAN DIEGO,3710042,SAN DIEGO COUNTY WATER AUTHORITY,C,C,D5,T5,WH,97,0,10/16/2019
DISTRICT 01 - KLAMATH,4700531,TENNANT C.S.D.,C,C,D1,There are no treatment plants,DAVCS,97,94,10/10/2017
LPA57 - MONTEREY COUNTY,2701364,PEDRAZZI MWC,C,C,D1,TD,,96,273,9/22/2016
LPA58 - NAPA COUNTY,2800530,MEYERS WATER CO.,C,C,D1,There are no treatment plants,SC,96,250,6/11/2020
LPA58 - NAPA COUNTY,2810014,SPANISH FLAT WATER DISTRICT,C,C,D1,T2,SC,96,230,5/5/2020
LPA67 - SAN DIEGO COUNTY,3700922,LIVE OAK SPRINGS WATER COMPANY,C,C,D1,TD,SC,96,300,5/7/2019
DISTRICT 17 - SANTA CLARA,4300575,TWIN VALLEY INC,C,C,D1,There are no treatment plants,SC,96,317,9/13/2018
DISTRICT 12 - VISALIA,1500557,STOCKDALE RANCHOS MUTUAL WATER CO,C,C,D1,TD,SC,95,393,12/17/2018
DISTRICT 15 - METROPOLITAN,1910099,PARADISE RANCH MHP,C,C,D1,T1,SC,95,345,4/9/2009
LPA66 - SAN BERNARDINO COUNTY,3600158,LYTLE SPRINGS WC,C,C,D1,There are no treatment plants,SC,95,475,10/23/2018
DISTRICT 01 - KLAMATH,4700528,SISKIYOU CO. ROLLING HILLS MWC,C,C,D1,There are no treatment plants,DAVCS,95,300,5/30/2018
LPA80 - STANISLAUS COUNTY,5000017,PARK HEIGHTS MUTUAL WATER CO,C,C,D1,There are no treatment plants,SC,95,250,6/14/2019
DISTRICT 06 - SANTA BARBARA,5601119,SIETE ROBLES MUTUAL WATER CO,C,C,D1,T1,SC,95,323,11/8/2018
LPA87 - YOLO COUNTY,5700788,NORTH DAVIS MEADOWS,C,C,D1,TD,,95,314,1/28/2020
LPA34 - BUTTE COUNTY,400008,GRAN MUTUAL WATER CO,C,C,D1,There are no treatment plants,,94,200,3/23/2017
LPA44 - INYO COUNTY,1400066,ASPENDELL MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,94,60,6/25/2014
DISTRICT 17 - SANTA CLARA,4100503,BUTANO CANYON MUTUAL,C,C,D1,T2,SC,94,150,11/20/2019
LPA72 - SANTA BARBARA COUNTY,4200616,SKYLINE PARK,C,C,D1,TD,SC,94,300,1/13/2020
LPA72 - SANTA BARBARA COUNTY,4200807,WOODSTOCK RANCH,C,C,D1,There are no treatment plants,SC,94,350,5/15/2019
DISTRICT 11 - MERCED,2010012,CAL AM - RAYMOND,C,C,D1,T3,DAVCS,93,307,10/23/2018
DISTRICT 03 - MENDOCINO,2300610,CASPAR SOUTH SERVICE COMPANY,C,C,D1,T2,SC,93,188,11/15/2018
LPA66 - SAN BERNARDINO COUNTY,3600107,FOREST PARK MWC,C,C,D1,TD,SC,93,415,4/8/2019
LPA66 - SAN BERNARDINO COUNTY,3600400,APPLE VALLEY VILLAGE MHE,C,C,D1,There are no treatment plants,SC,93,180,7/5/2018
LPA75 - SHASTA COUNTY,4500094,RIVERLAND MOBILEHOME PARK,C,C,D1,TD,SC,93,274,4/24/2020
DISTRICT 18 - SONOMA,4910027,SONOMA STATE UNIVERSITY,C,C,D3,T1,C1,93,10986,7/27/2020
DISTRICT 21 - VALLEY,5100107,SUTTER CO. WWD#1 (ROBBINS),C,C,D1,T2,DAVCS,93,350,4/3/2019
DISTRICT 24 - TULARE,5400903,TRACT 92 CSD,C,C,D1,TD,SC,93,500,4/27/2018
DISTRICT 06 - SANTA BARBARA,5610050,CALLEGUAS MUNICIPAL WATER DIST,C,C,D5,T5,WH,93,0,12/16/2019
DISTRICT 03 - MENDOCINO,1700595,CAL 20 VILLAGE AND MEADOW POINTE PARK,C,C,D1,T1,DAVCS,92,150,12/1/2017
DISTRICT 02 - LASSEN,3110049,TAHOE PARK WATER CO - SKYLAND/NIELSEN,C,C,D1,There are no treatment plants,SC,92,50,8/14/2019
LPA67 - SAN DIEGO COUNTY,3701747,NORTH PEAK MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,92,25,2/13/2019
LPA67 - SAN DIEGO COUNTY,3701961,PINE VALLEY TRAILER PARK,C,C,D1,TD,SC,92,200,11/3/2017
LPA72 - SANTA BARBARA COUNTY,4200619,SANTA YNEZ RANCHO EST.,C,C,D1,There are no treatment plants,,92,304,9/17/2019
DISTRICT 17 - SANTA CLARA,4300545,SARATOGA HEIGHTS MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,92,258,8/19/2019
LPA75 - SHASTA COUNTY,4500235,WOODRIDGE MUTUAL WATER CO,C,C,D1,There are no treatment plants,SC,92,182,6/22/2020
DISTRICT 18 - SONOMA,4900521,GILL CREEK MUTUAL WATER COMPANY,C,C,D1,TD,SC,92,232,6/29/2017
DISTRICT 06 - SANTA BARBARA,5602115,SAVIERS ROAD MUTUAL WATER CO,C,C,D1,There are no treatment plants,SC,92,368,9/20/2018
LPA50 - MADERA COUNTY,2000293,MD 46 AHWAHNEE RESORTS,C,C,D1,T1,SC,91,300,12/13/2019
LPA75 - SHASTA COUNTY,4500003,MEL MAR MUTUAL WATER CO,C,C,D1,There are no treatment plants,SC,91,300,5/4/2018
DISTRICT 11 - MERCED,5500040,BLUEBELL VALLEY MWC,C,C,D1,There are no treatment plants,DAVCS,91,282,9/19/2019
DISTRICT 21 - VALLEY,1100616,ELK CREEK COMMUNITY S.D.,C,C,D1,T3,DAVCS,90,191,12/16/2019
DISTRICT 12 - VISALIA,1500314,DEL ORO WC - COUNTRY ESTATES DIST,C,C,D1,TD,SC,90,297,8/28/2019
DISTRICT 12 - VISALIA,1500380,DE RANCHO Y MOBILE VILLA WATER,C,C,D1,There are no treatment plants,SC,90,200,11/13/2019
DISTRICT 12 - VISALIA,1503475,WESTERN ACRES MUTUAL WATER COMPANY,C,C,D1,TD,SC,90,310,6/18/2020
DISTRICT 03 - MENDOCINO,1700546,CLEAR WATER MUTUAL WATER COMPANY,C,C,D1,T3,DAVCS,90,252,9/28/2017
LPA57 - MONTEREY COUNTY,2700674,PARADISE LAKE MUTUAL WATER CO.,C,C,D1,There are no treatment plants,,90,180,9/12/2017
LPA58 - NAPA COUNTY,2800543,CAPELL VALLEY ESTATES,C,C,D1,T2,,90,250,5/5/2020
LPA63 - RIVERSIDE COUNTY,3301511,PINYON CREST HOA,C,C,D1,TD,SC,90,104,10/2/2018
DISTRICT 17 - SANTA CLARA,4300563,MT. PLEASANT WATER USERS ASSOCIATION,C,C,D1,There are no treatment plants,SC,90,300,9/19/2017
DISTRICT 24 - TULARE,5400550,SEVILLE WATER COMPANY,C,C,D1,TD,DAVCS,90,480,12/16/2019
DISTRICT 01 - KLAMATH,800552,NORTHCREST TRAILER CITY,C,C,D1,Missing treatment classification in SDWIS,SC,89,250,8/14/2019
LPA44 - INYO COUNTY,1400006,PINE CREEK VILLAGE,C,C,D1,There are no treatment plants,SC,89,350,10/23/2019
DISTRICT 12 - VISALIA,1500544,ENOS LANE PUBLIC UTILITY DISTRICT,C,C,D1,TD,SC,89,365,7/27/2018
LPA50 - MADERA COUNTY,2000506,SIERRA LINDA MUTUAL WATER CO,C,C,D1,There are no treatment plants,,89,200,9/24/2019
DISTRICT 02 - LASSEN,4600056,"SIERRA CITY WATER WORKS, INC.",C,C,D1,There are no treatment plants,SC,89,250,8/15/2019
LPA34 - BUTTE COUNTY,400020,PLEASANT GROVE MHP,C,C,D1,There are no treatment plants,,88,327,5/13/2015
DISTRICT 21 - VALLEY,600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,C,C,D1,T2,SC,88,246,5/30/2019
LPA67 - SAN DIEGO COUNTY,3700936,RANCHO ESTATES MUTUAL WATER CO.,C,C,D2,T1,SC,88,200,5/19/2020
LPA88 - YUBA COUNTY,5800832,CASTLEWOOD MOBILE HOME PARK,C,C,D1,T1,SC,88,200,1/29/2019
DISTRICT 21 - VALLEY,1100237,WILLOWS MOBILE HOME COMMUNITY & RV PARK,C,C,D1,There are no treatment plants,SC,87,190,2/26/2020
LPA66 - SAN BERNARDINO COUNTY,3600022,BAKER COMMUNITY SERVICES DISTRICT,C,C,D1,There are no treatment plants,SC,87,1000,11/19/2019
LPA72 - SANTA BARBARA COUNTY,4200531,RANCHO MARCELINO WAT,C,C,D2,T2,SC,87,240,3/15/2019
DISTRICT 04 - SAN FRANCISCO,4810011,SID - ELMIRA,C,C,D1,TD,SC,87,314,5/30/2018
DISTRICT 04 - SAN FRANCISCO,4810012,SID - QUAIL CANYON,C,C,D1,TD,SC,87,287,5/30/2018
DISTRICT 18 - SONOMA,4900558,BELMONT TERRACE MUTUAL WATER COMPANY,C,C,D1,TD,SC,87,244,11/22/2017
LPA80 - STANISLAUS COUNTY,5000058,FISHERMAN'S BEND MHP,C,C,D1,There are no treatment plants,SC,87,80,4/12/2018
DISTRICT 11 - MERCED,5500086,SONORA ESTATES MOBILE HOME PARK,C,C,D1,There are no treatment plants,SC,87,231,8/8/2019
DISTRICT 11 - MERCED,5500115,SUGAR PINE RV RESORT,C,C,D1,There are no treatment plants,DAVCS,87,244,11/19/2019
LPA37 - CONTRA COSTA COUNTY,707577,RIVERVIEW WATER ASSOCIATION,C,C,D1,There are no treatment plants,SC,86,230,6/19/2020
DISTRICT 21 - VALLEY,1100404,DEL ORO WC - BLACK BUTTE DISTRICT,C,C,D1,There are no treatment plants,SC,86,284,8/13/2018
DISTRICT 19 - TEHACHAPI,1500459,LAKE OF THE WOODS MOBILE VILLAGE,C,C,D1,There are no treatment plants,SC,86,82,10/15/2019
DISTRICT 11 - MERCED,2210906,MARIPOSA PINES MUTUAL,C,C,D1,There are no treatment plants,SC,86,284,12/18/2018
DISTRICT 03 - MENDOCINO,2300743,DOLPHIN ISLE MARINA,C,C,D1,TD,DAVCS,86,560,7/2/2019
LPA59 - NEVADA COUNTY,2900562,ANANDA VILLAGE,C,C,D1,T1,SC,86,290,11/20/2019
LPA69 - SAN JOAQUIN COUNTY,3900722,MORADA ESTATES PWS,C,C,D1,T2,SC,86,158,12/6/2017
DISTRICT 01 - KLAMATH,4700542,ABRAMS LAKE MOBILE ESTATES,C,C,D1,There are no treatment plants,DAVCS,86,135,1/31/2019
LPA88 - YUBA COUNTY,5800828,COUNTRYSIDE MOBILE HOME PARK,C,C,D1,T1,SC,86,185,2/23/2018
DISTRICT 19 - TEHACHAPI,1500393,RAINBIRD VALLEY MUTUAL WATER COMPANY,C,C,D1,TD,SC,85,238,6/20/2018
LPA62 - PLUMAS COUNTY,3200150,HAMILTON BRANCH MWC,C,C,D1,There are no treatment plants,SC,85,250,5/24/2018
LPA63 - RIVERSIDE COUNTY,3301180,ANZA MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,85,224,9/8/2017
LPA64 - SACRAMENTO COUNTY,3400107,RIVER'S EDGE MARINA & RESORT,C,C,,There are no treatment plants,,85,150,8/3/2018
LPA69 - SAN JOAQUIN COUNTY,3901074,TWIN OAKS MOBILE PARK,C,C,D1,There are no treatment plants,SC,85,255,2/19/2019
LPA72 - SANTA BARBARA COUNTY,4200578,PAINTED CAVE,C,C,D1,There are no treatment plants,,85,243,5/9/2018
LPA82 - TEHAMA COUNTY,5200562,SKY VIEW COUNTY WATER,C,C,D1,TD,SC,85,412,6/13/2019
DISTRICT 06 - SANTA BARBARA,5601104,CASITAS MUTUAL WATER COMPANY,C,C,D1,TD,SC,85,238,10/5/2018
LPA88 - YUBA COUNTY,5800924,CAMPTONVILLE COMMUNITY SERV DIST,C,C,D1,T2,SC,85,180,6/24/2020
DISTRICT 01 - KLAMATH,800700,LAS PALMAS MOBILE HOME PARK,C,C,D1,TD,DAVCS,84,120,9/18/2018
DISTRICT 19 - TEHACHAPI,1500333,CWS - FREMONT VALLEY,C,C,D1,TD,SC,84,116,10/30/2018
LPA57 - MONTEREY COUNTY,2700702,PRUNEDALE MWC,C,C,D1,T2,,84,277,8/30/2019
LPA66 - SAN BERNARDINO COUNTY,3600094,DOGWOOD BLUE JAY CYN IMP,C,C,D1,T2,SC,84,160,11/4/2019
DISTRICT 02 - LASSEN,4500317,"SHASTA CSA - FRENCH GULCH, #11",C,C,D1,T2,DAVCS,84,277,4/16/2019
DISTRICT 01 - KLAMATH,4700549,LAKE SISKIYOU M.W.C.,C,C,D1,There are no treatment plants,DAVCS,84,240,5/2/2019
DISTRICT 24 - TULARE,5400732,PIERPOINT SPRINGS WATER CO.,C,C,D1,There are no treatment plants,SC,84,40,9/27/2018
LPA88 - YUBA COUNTY,5800820,RIVER HIGHLANDS CSD,C,C,D1,There are no treatment plants,SC,84,200,11/7/2018
DISTRICT 21 - VALLEY,1100436,ORLAND OAKS MHP,C,C,D1,There are no treatment plants,SC,83,186,5/3/2017
LPA50 - MADERA COUNTY,2000551,MD 07 MARINA VIEW HEIGHTS,C,C,D1,T1,SC,83,200,12/18/2019
LPA63 - RIVERSIDE COUNTY,3301529,RAMONA WATER COMPANY,C,C,D1,There are no treatment plants,SC,83,250,3/27/2019
LPA66 - SAN BERNARDINO COUNTY,3600152,LOMA LINDA UNIVERSITY,C,C,D2,T2,SC,83,8500,11/28/2018
LPA66 - SAN BERNARDINO COUNTY,3600226,CSA 70-F MORONGO,C,C,D1,TD,SC,83,450,2/19/2019
LPA69 - SAN JOAQUIN COUNTY,3900624,IL VINETO,C,C,D1,T1,SC,83,160,2/13/2019
DISTRICT 18 - SONOMA,4900545,"BRANGER MUTUAL WATER COMPANY, INC.",C,C,D1,TD,SC,83,300,11/7/2017
DISTRICT 06 - SANTA BARBARA,5602104,DEL NORTE MUTUAL WATER CO.,C,C,D1,TD,SC,83,211,12/10/2019
DISTRICT 02 - LASSEN,1800534,SPAULDING EAGLE LAKE MWC,C,C,D1,TD,SC,82,289,7/26/2018
LPA50 - MADERA COUNTY,2000757,MD 63 MEADOW SPRINGS RANCH,C,C,D1,T1,SC,82,300,9/13/2019
DISTRICT 03 - MENDOCINO,2300605,RIVER ESTATES MUTUAL WATER COMPANY,C,C,D1,T1,SC,82,250,5/3/2018
LPA63 - RIVERSIDE COUNTY,3301512,PINYON PINES COUNTY WATER DIST,C,C,D1,There are no treatment plants,SC,82,160,4/23/2019
LPA69 - SAN JOAQUIN COUNTY,3900505,FARMINGTON WATER COMPANY,C,C,D1,There are no treatment plants,SC,82,270,7/7/2017
LPA69 - SAN JOAQUIN COUNTY,3900596,VILLA CEREZOS,C,C,D1,There are no treatment plants,SC,82,200,3/24/2019
LPA69 - SAN JOAQUIN COUNTY,3901337,MORADA ESTATES N PWS #46,C,C,D1,There are no treatment plants,SC,82,180,12/6/2017
LPA80 - STANISLAUS COUNTY,5000317,OID #51 - SUNSET OAKS #10,C,C,D1,There are no treatment plants,SC,82,287,6/21/2017
DISTRICT 10 - STOCKTON,310018,FIRST MACE MEADOWS UNIT NO. 2,C,C,D1,There are no treatment plants,SC,81,200,6/18/2019
DISTRICT 12 - VISALIA,1500349,STOCKDALE MUTUAL WATER CO.,C,C,D1,TD,SC,81,200,4/15/2019
LPA50 - MADERA COUNTY,2000512,EAST ACRES MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,,81,250,6/18/2018
LPA57 - MONTEREY COUNTY,2700772,STRUVE RD WS #02,C,C,D1,TD,SC,81,166,8/3/2018
LPA66 - SAN BERNARDINO COUNTY,3600012,APPLE VALLEY VIEW MWC,C,C,D1,There are no treatment plants,SC,81,275,12/13/2018
LPA34 - BUTTE COUNTY,400051,DINGERVILLE USA PARK,C,C,D1,There are no treatment plants,,80,447,6/25/2020
DISTRICT 23 - FRESNO,1009027,HARRIS FARMS HEADQUARTERS,C,C,D1,T2,SC,80,300,3/28/2017
DISTRICT 12 - VISALIA,1500493,"EL ADOBE POA, INC.",C,C,D1,TD,SC,80,200,4/23/2020
DISTRICT 08 - SANTA ANA,3010071,JOINT REGIONAL WATER SUPPLY SYSTEM,C,C,D4,There are no treatment plants,WH,80,0,7/20/2017
LPA63 - RIVERSIDE COUNTY,3301482,ORTEGA OAKS RV PARK&CAMPGROUND,C,C,D1,T1,SC,80,180,4/26/2018
LPA66 - SAN BERNARDINO COUNTY,3600180,NAVAJO MWC,C,C,D1,There are no treatment plants,SC,80,276,5/29/2019
LPA72 - SANTA BARBARA COUNTY,4200842,SAINT MARIE MHP,C,C,D1,There are no treatment plants,SC,80,250,10/25/2019
DISTRICT 24 - TULARE,5400968,IMPROVEMENT DISTRICT NO. 1,C,C,D1,T3,SC,80,200,11/21/2019
DISTRICT 24 - TULARE,5403217,OKIEVILLE HIGHLAND ACRES MWC,C,C,D1,There are no treatment plants,SC,80,300,7/11/2019
DISTRICT 11 - MERCED,5500120,49ER TRAILER RANCH,C,C,D1,There are no treatment plants,DAVCS,80,121,12/12/2017
DISTRICT 23 - FRESNO,1000359,FCSA #32/CANTUA CREEK,C,C,D1,T2,DAVCS,79,255,2/20/2020
DISTRICT 01 - KLAMATH,1200501,ALDERPOINT COUNTY WATER,C,C,D1,T2,SC,79,219,1/16/2019
DISTRICT 19 - TEHACHAPI,1502232,ROSAMOND MOBILEHOME PARK,C,C,D1,TD,DAVCS,79,175,4/13/2018
DISTRICT 17 - SANTA CLARA,4300551,HAPPY ACRES MWC,C,C,D1,TD,SC,79,220,4/12/2018
LPA74 - SANTA CRUZ COUNTY,4400598,"PURESOURCE WATER, INC",C,C,D1,There are no treatment plants,,79,172,3/28/2019
LPA75 - SHASTA COUNTY,4500313,SHASTA CO CSA # 8 PALO CEDRO,C,C,D1,TD,SC,79,261,5/8/2020
DISTRICT 18 - SONOMA,4900512,HAPPY ACRES MUTUAL BENEFIT WATER SYSTEM,C,C,D1,T1,SC,79,260,8/21/2013
LPA49 - LA COUNTY,1900303,LLANO MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,78,264,3/21/2019
LPA58 - NAPA COUNTY,2810009,BERRYESSA PINES WATER SYSTEM,C,C,D1,T2,SC,78,261,5/5/2020
DISTRICT 02 - LASSEN,3200510,IVCSD CRESCENT MILLS,C,C,D1,T1,DAVCS,78,258,11/18/2019
LPA66 - SAN BERNARDINO COUNTY,3601036,CALICO LAKE HOMEOWNERS,C,C,D1,There are no treatment plants,SC,78,150,1/23/2019
DISTRICT 01 - KLAMATH,4700880,SISKIYOU LAKE HIGHLANDS MWC,C,C,D1,There are no treatment plants,SC,78,100,10/5/2017
LPA80 - STANISLAUS COUNTY,5000237,NORTH OAKS MUTUAL WATER CO,C,C,D1,There are no treatment plants,SC,78,234,6/30/2017
DISTRICT 24 - TULARE,5400602,EAGLE'S NEST RESORT,C,C,D1,There are no treatment plants,SC,78,279,2/7/2020
DISTRICT 23 - FRESNO,1000259,NEW HORIZONS MOBILE/RV PARK,C,C,D1,There are no treatment plants,SC,77,82,3/15/2017
LPA63 - RIVERSIDE COUNTY,3301381,CSA 51,C,C,D1,T1,SC,77,350,6/10/2020
LPA64 - SACRAMENTO COUNTY,3400149,RANCHO MARINA,C,C,,Missing treatment classification in SDWIS,,77,250,7/30/2020
DISTRICT 05 - MONTEREY,3500006,CSA NO. 31 STONEGATE WS,C,C,D1,T2,SC,77,252,8/23/2019
LPA80 - STANISLAUS COUNTY,5000014,OID #46 - SUNSET OAKS,C,C,D1,There are no treatment plants,SC,77,269,6/21/2017
DISTRICT 24 - TULARE,5400567,TOOLEVILLE MUTUAL NON PROFIT WATER ASSOC,C,C,D1,TD,DAVCS,77,340,11/9/2018
DISTRICT 23 - FRESNO,1009111,SCE/BIG CREEK POWERHOUSE #1,C,C,D1,T2,SC,76,126,7/19/2018
DISTRICT 01 - KLAMATH,1200591,BIG LAGOON PARK WATER CO.,C,C,D1,TD,SC,76,70,3/27/2018
LPA49 - LA COUNTY,1900636,EL RANCHO MOBILE HOME PARK,C,C,D1,T1,SC,76,215,1/9/2019
LPA63 - RIVERSIDE COUNTY,3301114,CHERRY VALLEY WATER COMPANY,C,C,D1,TD,SC,76,210,10/22/2018
LPA69 - SAN JOAQUIN COUNTY,3901114,KING ISLAND TRAILER PARK WATER SYSTEM,C,C,D1,There are no treatment plants,SC,76,200,4/17/2019
DISTRICT 18 - SONOMA,4900797,NORTH STAR MOBILE HOME PARK,C,C,D1,TD,SC,76,75,3/19/2019
LPA37 - CONTRA COSTA COUNTY,707598,CAMINO MOBILEHOME,C,C,D1,There are no treatment plants,SC,75,210,3/12/2018
LPA44 - INYO COUNTY,1400020,ABERDEEN WATER SYSTEM,C,C,D1,There are no treatment plants,SC,75,23,6/9/2010
DISTRICT 03 - MENDOCINO,1700574,COBB AREA CWD - STARVIEW,C,C,D1,TD,DAVCS,75,247,8/21/2020
LPA49 - LA COUNTY,1900721,TERRA NOVA MOBILE HOME PARK,C,C,D1,T1,SC,75,140,11/28/2018
DISTRICT 11 - MERCED,2210903,FISHCAMP MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,75,275,10/20/2017
LPA67 - SAN DIEGO COUNTY,3701184,BUTTERFIELD RANCH,C,C,D1,There are no treatment plants,SC,75,350,8/18/2019
LPA75 - SHASTA COUNTY,4500054,BALLS FERRY FISHING RESORT,C,C,D1,TD,SC,75,204,4/24/2019
DISTRICT 18 - SONOMA,4900795,STONEGATE MOBILE HOME PARK,C,C,D1,TD,SC,75,100,8/22/2013
LPA82 - TEHAMA COUNTY,5200570,SURREY VILLAGE WATER CO. INC.,C,C,D1,There are no treatment plants,SC,75,145,6/27/2019
DISTRICT 11 - MERCED,5500125,MOTHER LODE MOBILE ESTATES,C,C,D1,There are no treatment plants,DAVCS,75,210,6/29/2017
DISTRICT 21 - VALLEY,1100444,ORLAND ESTATES MOBILE H.P.,C,C,D1,There are no treatment plants,SC,74,200,7/5/2017
LPA56 - MONO COUNTY,2600501,BIRCHIM COMMUNITY SERVICE DISTRICT,C,C,D1,There are no treatment plants,SC,74,150,6/25/2019
LPA63 - RIVERSIDE COUNTY,3301535,RANCHO CARRILLO MWC,C,C,D1,There are no treatment plants,SC,74,210,2/21/2020
LPA69 - SAN JOAQUIN COUNTY,3900653,ISLANDER MARINA,C,C,D1,T1,SC,74,150,2/17/2017
DISTRICT 21 - VALLEY,5200534,PASKENTA COMM. SERVICES DIST.,C,C,D1,TD,SC,74,244,5/24/2019
DISTRICT 06 - SANTA BARBARA,5602140,SATICOY COUNTRY CLUB-CITY OF VENTURA,C,C,D1,TD,SC,74,177,5/8/2017
DISTRICT 19 - TEHACHAPI,1503329,HART CREEK ESTATES MUTUAL WATER CO.,C,C,D1,T1,SC,73,148,10/9/2018
DISTRICT 03 - MENDOCINO,2300730,WESTPORT COUNTY WATER DISTRICT,C,C,D1,T3,DAVCS,73,369,10/16/2019
DISTRICT 11 - MERCED,2400167,BALLICO CSD,C,C,D1,There are no treatment plants,SC,73,238,4/4/2017
LPA66 - SAN BERNARDINO COUNTY,3601015,IRONWOOD CAMP,C,C,D1,T2,SC,73,1000,3/16/2020
LPA67 - SAN DIEGO COUNTY,3701837,WYNOLA WATER DISTRICT,C,C,D1,There are no treatment plants,SC,73,120,5/6/2020
LPA69 - SAN JOAQUIN COUNTY,3901215,SAN JUAN VISTA,C,C,D1,There are no treatment plants,SC,73,100,6/4/2019
LPA74 - SANTA CRUZ COUNTY,4400618,RIDGE MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,,73,240,5/30/2017
DISTRICT 18 - SONOMA,4900791,WESTERN MOBILE HOME PARK,C,C,D1,T2,SC,73,225,3/30/2017
DISTRICT 18 - SONOMA,4900943,ALLIANCE REDWOODS CONFERENCE GROUNDS,C,C,D1,T1,SC,73,418,11/16/2012
LPA80 - STANISLAUS COUNTY,5000060,CASA DE AMIGOS MOBILE HOME PARK,C,C,D1,There are no treatment plants,SC,73,220,6/22/2017
DISTRICT 10 - STOCKTON,300016,VOLCANO COMMUNITY SERVICE DIST,C,C,D1,T2,SC,72,160,10/23/2017
LPA37 - CONTRA COSTA COUNTY,707553,RIVERVIEW MOBILE HOMES,C,C,D1,There are no treatment plants,SC,72,216,6/19/2019
DISTRICT 01 - KLAMATH,1200706,TRINIDAD EXTENDED STAY RV,C,C,D1,T2,SC,72,130,5/19/2020
LPA43 - IMPERIAL COUNTY,1300575,DATE GARDENS MOBILE HOME PARK,C,C,D1,T2,SC,72,101,12/31/2019
DISTRICT 19 - TEHACHAPI,1502670,"FAIRVIEW WATER COMPANY, LLC",C,C,D1,There are no treatment plants,SC,72,240,11/15/2018
LPA57 - MONTEREY COUNTY,2701553,POND-DEROSA OAKS WC,C,C,D1,There are no treatment plants,,72,216,10/8/2018
LPA63 - RIVERSIDE COUNTY,3301169,MURRIETA PALMS MOBILE HOME PARK,C,C,D1,There are no treatment plants,SC,72,237,2/14/2018
LPA66 - SAN BERNARDINO COUNTY,3600166,MILL CREEK MSC,C,C,D1,There are no treatment plants,SC,72,315,4/25/2019
LPA69 - SAN JOAQUIN COUNTY,3900568,CARIBOU MOBILE PARK PWS,C,C,D1,There are no treatment plants,SC,72,180,3/5/2019
LPA69 - SAN JOAQUIN COUNTY,3900720,SHADED TERRACE PWS,C,C,D1,There are no treatment plants,SC,72,161,12/6/2017
LPA75 - SHASTA COUNTY,4500107,ZUFALL'S MOBILEHOME PARK,C,C,D1,There are no treatment plants,SC,72,165,6/13/2018
DISTRICT 19 - TEHACHAPI,1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,C,C,D1,There are no treatment plants,SC,71,120,2/2/2018
DISTRICT 03 - MENDOCINO,1700549,CORINTHIAN BAY MUTUAL WATER COMPANY,C,C,D1,TD,SC,71,150,3/16/2018
LPA49 - LA COUNTY,1907028,SPV WATER COMPANY,C,C,D1,T1,SC,71,211,2/5/2019
DISTRICT 03 - MENDOCINO,2300634,OCEAN'S EDGE ESTATES,C,C,D1,T1,SC,71,250,3/12/2019
LPA75 - SHASTA COUNTY,4500173,CASSEL PARK MUTUAL WATER CO,C,C,D1,TD,SC,71,131,5/15/2020
DISTRICT 01 - KLAMATH,4700803,SHADOW MOUNTAIN MHP,C,C,D1,There are no treatment plants,DAVCS,71,100,5/3/2018
